x,y,z
373536.34,4142522.2,1359.91
373533.94,4142499.0,1359.88
373535.34,4142470.0,1359.6
373530.0,4142501.2,1360.09
373530.44,4142481.8,1360.02
373528.72,4142489.2,1360.12
373532.03,4142449.8,1359.06
373520.62,4142522.5,1360.68
373533.0,4142438.5,1358.91
373527.97,4142456.2,1359.54
373518.56,4142515.5,1360.76
373530.84,4142432.0,1358.96
373534.44,4142390.0,1357.61
373522.66,4142470.5,1359.79
373517.6,4142500.8,1360.62
373529.66,4142418.5,1358.9
373536.12,4142346.2,1334.48
373531.94,4142384.8,1356.85
373520.28,4142464.8,1359.61
373513.4,4142507.2,1360.81
373525.62,4142424.2,1359.24
373532.5,4142351.2,1336.36
373533.47,4142314.0,1322.6
373528.84,4142384.8,1357.5
373517.06,4142464.8,1359.71
373510.22,4142506.8,1360.94
373522.5,4142423.8,1359.37
373529.4,4142350.8,1336.47
373536.06,4142276.2,1313.51
373530.7,4142310.2,1321.92
373525.94,4142381.2,1356.45
373514.38,4142461.0,1359.81
373506.34,4142510.5,1361.1
373518.75,4142427.5,1359.78
373526.22,4142353.8,1339.47
373532.62,4142279.8,1314.99
373535.3,4142203.2,1277.69
373530.88,4142279.5,1315.08
373523.97,4142353.5,1338.26
373516.4,4142426.8,1359.71
373503.66,4142510.0,1361.2
373510.47,4142461.5,1360.03
373521.3,4142382.8,1354.24
373526.4,4142311.2,1322.65
373532.16,4142236.0,1294.31
373533.62,4142194.8,1278.79
373528.4,4142270.5,1311.25
373521.5,4142345.2,1335.02
373514.53,4142418.2,1359.86
373501.84,4142501.0,1361.16
373506.0,4142470.2,1360.5
373517.84,4142390.0,1358.91
373522.7,4142319.5,1325.8
373528.72,4142244.2,1298.49
373534.88,4142172.5,1277.88
373528.84,4142211.5,1281.68
373523.88,4142287.5,1316.83
373517.3,4142361.5,1342.81
373508.66,4142436.2,1360.08
373495.6,4142520.2,1361.48
373505.6,4142451.8,1360.15
373515.6,4142374.8,1350.21
373521.3,4142302.5,1321.09
373526.16,4142227.0,1286.88
